id,species,host,group,pool_size,Pool_origin,Height_technique,latitude,longitude,date_identification_collection,decomposition_simple,Result,CT,amplicon_cov_pct,smart9n_Nb_reads ,N50,smart9n_Nb_of_reads_mapped,RPM,smart9n_perc_reads_mapped,smart9n_average_depth_coverage,Identity,smart9n_cov10x_pct,Final_dataset,Accession_number
50,Alouatta_guariba,NeotropicalPrimate,Group_III,NA,NA,NA,-23.448098,-46.6199025,08/12/2017,NA,Positive,18.33,NA,91287,277,509,4.7463,0.56,27.14,93.6,95.911,Yes,OQ714299.1
53,Alouatta_guariba,NeotropicalPrimate,Group_III,NA,NA,NA,-23.4214045,-46.6215058,08/12/2017,NA,Positive,22.62,NA,105262,532,32858,6.4944,31.22,2066.71,93.8,99.889,Yes,OQ714301.1
51,Alouatta_guariba,NeotropicalPrimate,Group_III,NA,NA,NA,-23.448098,-46.6199025,08/12/2017,NA,Positive,11.28,83.562,239597,524,47888,6.3007,19.99,2019.08,95.5,99.908,Yes,OQ714273.1
55,Alouatta_guariba,NeotropicalPrimate,Group_III,NA,NA,NA,-23.4542863,-46.6360281,11/12/2017,NA,Positive,10,85.9563,330242,558,75341,6.3582,22.81,3240.89,95.4,99.889,Yes,OQ714278.1
54,Alouatta_guariba,NeotropicalPrimate,Group_III,NA,NA,NA,-23.4533649,-46.6709301,11/12/2017,NA,Positive,14,89.336,522481,565,68992,6.1207,13.2,3126.91,95.4,99.889,Yes,OQ714269.1
56,Alouatta_guariba,NeotropicalPrimate,Group_III,NA,NA,NA,-23.4542863,-46.6360281,11/12/2017,NA,Positive,13,86.03,484434,530,88869,6.2635,18.34,3396.72,95.4,99.908,Yes,OQ714268.1
2,Alouatta_guariba,NeotropicalPrimate,Group_II,NA,NA,NA,-23.4578,-46.6361,12/12/2017,intact_live_2d,Positive,11.25,86.9693,95800,515,13739,6.1566,14.34,583.07,94.9,99.88,Yes,OQ714277.1
57,Alouatta_guariba,NeotropicalPrimate,Group_III,NA,NA,NA,-23.4542863,-46.6360281,12/12/2017,NA,Positive,11.33,87.6324,101153,571,11952,6.0725,11.82,533.05,94.8,99.88,Yes,OQ714276.1
61,Alouatta_guariba,NeotropicalPrimate,Group_III,NA,NA,NA,-23.4542863,-46.6360281,14/12/2017,intact_live_2d,Positive,7.94,83.1568,75263,535,13808,6.2635,18.35,484.93,94.9,99.899,Yes,OQ714265.1
59,Alouatta_guariba,NeotropicalPrimate,Group_III,NA,NA,NA,-23.4542863,-46.6360281,14/12/2017,NA,Positive,14.13,86.3155,94539,522,17626,6.2705,18.64,608.83,94.8,99.899,Yes,OQ714266.1
58,Alouatta_guariba,NeotropicalPrimate,Group_III,NA,NA,NA,-23.4542863,-46.6360281,14/12/2017,intact_live_2d,Positive,8,74.1228,511264,472,39921,5.8926,7.81,1880.77,95.4,99.908,Yes,OQ714279.1
60,Alouatta_guariba,NeotropicalPrimate,Group_III,NA,NA,NA,-23.4191513,-46.5903346,14/12/2017,NA,Positive,9.6,82.4201,309212,579,29184,5.9749,9.44,1385.73,95.3,99.908,Yes,OQ714267.1
63,Alouatta_guariba,NeotropicalPrimate,Group_III,NA,NA,NA,-23.4461714,-46.6176563,15/12/2017,NA,Positive,8.65,86.8312,48873,442,5942,6.0849,12.16,206.7,94.8,99.88,Yes,OQ714270.1
62,Alouatta_guariba,NeotropicalPrimate,Group_III,NA,NA,NA,-23.4461853,-46.7052696,15/12/2017,NA,Positive,11.48,84.1606,257570,521,39011,6.1803,15.15,1724.28,95.5,99.889,Yes,OQ714264.1
4,Alouatta_guariba,NeotropicalPrimate,Group_II,NA,NA,NA,-23.4596,-46.6388,15/12/2017,intact_live_2d,Positive,17.44,NA,113347,265,34444,6.4827,30.39,1217.38,93.5,99.908,Yes,OQ714303.1
65,Alouatta_guariba,NeotropicalPrimate,Group_III,NA,NA,NA,-23.4517279,-46.6184316,16/12/2017,intact_live_2d,Positive,7.1,86.3984,33774,521,13820,6.6119,40.92,479.39,94.9,99.88,Yes,OQ714257.1
64,Alouatta_guariba,NeotropicalPrimate,Group_III,NA,NA,NA,-23.4517279,-46.6184316,16/12/2017,NA,Positive,7.26,84.0041,69433,497,24286,6.5438,34.98,847.58,94.8,99.89,Yes,OQ714256.1
3,Alouatta_guariba,NeotropicalPrimate,Group_II,NA,NA,NA,-23.4593,-46.6339,16/12/2017,intact_live_2d,Positive,11,83.0924,113347,265,34444,6.4827,30.39,1217.38,93.5,99.908,Yes,OQ714271.1
66,Alouatta_guariba,NeotropicalPrimate,Group_III,NA,NA,NA,-23.4517279,-46.6184316,16/12/2017,intact_live_2d,Positive,5.57,83.3963,373188,585,162990,6.6402,43.68,6251.17,95.5,99.908,Yes,OQ714258.1
6,Alouatta_guariba,NeotropicalPrimate,Group_II,NA,NA,NA,-23.4578,-46.6361,17/12/2017,intact_live_2d,Positive,23.02,NA,168671,213,168,3.9983,0.1,7.82,94.1,27.544,No,NA
69,Alouatta_guariba,NeotropicalPrimate,Group_III,NA,NA,NA,-23.4476865,-46.6163571,17/12/2017,NA,Positive,7.18,51.4412,93556,458,7100,5.8802,7.59,277.41,95,99.88,Yes,OQ714259.1
5,Alouatta_guariba,NeotropicalPrimate,Group_II,NA,NA,NA,-23.4578,-46.6361,17/12/2017,intact_live_2d,Positive,9.66,80.5783,407008,491,48210,6.0735,11.84,2196.4,95.4,99.908,Yes,OQ714272.1
67,Alouatta_guariba,NeotropicalPrimate,Group_III,NA,NA,NA,-23.4381956,-46.7092847,17/12/2017,NA,Positive,11.55,84.6947,90213,503,36640,6.6087,40.61,1122.67,94.9,99.908,Yes,OQ714261.1
70,Alouatta_guariba,NeotropicalPrimate,Group_III,NA,NA,NA,-23.4476865,-46.6163571,17/12/2017,NA,Positive,13,86.3523,268706,490,33408,6.0946,12.43,1400.24,95.6,99.908,Yes,OQ714260.1
68,Alouatta_guariba,NeotropicalPrimate,Group_III,NA,NA,NA,-23.4381956,-46.7092847,17/12/2017,NA,Positive,10.1,86.6654,393533,532,40746,6.0151,10.35,1798.36,95.4,99.908,Yes,OQ714262.1
72,Alouatta_guariba,NeotropicalPrimate,Group_III,NA,NA,NA,-23.4450952,-46.6131346,18/12/2017,NA,Positive,16.82,82.7793,124195,538,253,4.309,0.2,8.12,93.8,18.039,No,NA
7,Alouatta_guariba,NeotropicalPrimate,Group_II,NA,NA,NA,-23.4577,-46.6361,18/12/2017,intact_live_2d,Positive,20.2,NA,228897,230,4823,5.3237,2.11,161.31,93.4,99.899,Yes,OQ714304.1
71,Alouatta_guariba,NeotropicalPrimate,Group_III,NA,NA,NA,-23.4450952,-46.6131346,18/12/2017,NA,Positive,9.43,85.5972,302435,517,70310,6.3664,23.25,2960.26,95.5,99.908,Yes,OQ714263.1
74,Callithrix_spp,NeotropicalPrimate,Group_III,NA,NA,NA,-23.4803478,-46.6272311,19/12/2017,NA,Positive,NA,NA,274489,298,27,2.9928,0.01,1.4,92.5,0,No,NA
73,Alouatta_guariba,NeotropicalPrimate,Group_III,NA,NA,NA,-23.4542863,-46.6360281,19/12/2017,NA,Positive,19.48,NA,171720,315,3774,5.342,2.2,158.81,93.7,99.595,Yes,OQ714302.1
8,Alouatta_guariba,NeotropicalPrimate,Group_II,NA,NA,NA,-23.456,-46.6371,19/12/2017,intact_live_2d,Positive,26.76,NA,333557,262,15745,5.674,4.72,866.67,93.5,99.889,Yes,OQ714305.1
9,Alouatta_guariba,NeotropicalPrimate,Group_II,NA,NA,NA,-23.4591,-46.6394,19/12/2017,intact_live_2d,Positive,9.39,80.7257,440140,520,211290,6.6813,48.01,7244.14,95.5,99.908,Yes,OQ714274.1
11,Alouatta_guariba,NeotropicalPrimate,Group_II,NA,NA,NA,-23.4584,-46.6383,20/12/2017,intact_live_2d,Positive,8.64,84.6211,82830,511,24694,6.4744,29.81,907.89,94.8,99.899,Yes,OQ714282.1
10,Alouatta_guariba,NeotropicalPrimate,Group_II,NA,NA,NA,-23.457,-46.637,20/12/2017,intact_live_2d,Positive,17.7,NA,247967,361,2887,5.0661,1.16,110.22,93.7,99.899,Yes,OQ714306.1
12,Alouatta_guariba,NeotropicalPrimate,Group_II,NA,NA,NA,-23.4592,-46.6338,20/12/2017,intact_live_2d,Positive,15.1,NA,230812,526,89420,6.5882,38.74,3486.36,95.5,99.908,Yes,OQ714307.1
15,Alouatta_guariba,NeotropicalPrimate,Group_II,NA,NA,NA,-23.4592,-46.6339,21/12/2017,intact_live_2d,Positive,16.54,NA,258941,363,1042,4.6047,0.4,39.2,93.3,98.416,Yes,OQ714310.1
75,Alouatta_guariba,NeotropicalPrimate,Group_III,NA,NA,NA,-23.4542863,-46.6360281,21/12/2017,NA,Positive,10.59,83.9948,64560,545,13694,6.3266,21.21,549.41,94.8,99.88,Yes,OQ714281.1
14,Alouatta_guariba,NeotropicalPrimate,Group_II,NA,NA,NA,-23.4592,-46.6339,21/12/2017,intact_live_2d,Positive,20.29,NA,513994,253,3969,4.8877,0.77,214,93.5,99.899,Yes,OQ714309.1
13,Alouatta_guariba,NeotropicalPrimate,Group_II,NA,NA,NA,-23.4592,-46.6339,21/12/2017,intact_live_2d,Positive,11.13,86.4076,51104,541,11179,6.3399,21.88,429.93,94.9,99.899,Yes,OQ714280.1
76,Alouatta_guariba,NeotropicalPrimate,Group_III,NA,NA,NA,-23.4542863,-46.6360281,21/12/2017,NA,Positive,18.31,NA,285030,355,2251,4.8975,0.79,99.55,93.9,99.899,Yes,OQ714308.1
31,Alouatta_guariba,NeotropicalPrimate,Group_II,NA,NA,NA,-23.4584,-46.6369,22/12/2017,medium_or_advanced,Positive,NA,NA,74426,504,4450,5.7766,5.98,228.88,93.8,99.88,No,OQ714311.1
17,Alouatta_guariba,NeotropicalPrimate,Group_II,NA,NA,NA,-23.4617,-46.6417,22/12/2017,intact_live_2d,Positive,9.06,80.6152,56402,540,14362,6.4059,25.46,573.54,94.9,99.899,Yes,OQ714284.1
16,Alouatta_guariba,NeotropicalPrimate,Group_II,NA,NA,NA,-23.4592,-46.6393,22/12/2017,intact_live_2d,Positive,11,84.9342,477906,240,50804,6.0266,10.63,1377.4,94,99.908,Yes,OQ714283.1
19,Alouatta_guariba,NeotropicalPrimate,Group_II,NA,NA,NA,-23.4591,-46.6381,23/12/2017,intact_live_2d,Positive,6.94,85.9011,25325,516,8259,6.5134,32.61,324.34,94.8,99.899,Yes,ON022359.1
21,Alouatta_guariba,NeotropicalPrimate,Group_II,NA,NA,NA,-23.459,-46.6348,24/12/2017,intact_live_2d,Positive,NA,85.9011,469318,408,1386,4.4703,0.3,57.71,94.9,72.53,Yes,OQ714313.1
20,Alouatta_guariba,NeotropicalPrimate,Group_II,NA,NA,NA,-23.4617,-46.633,24/12/2017,intact_live_2d,Positive,NA,85.9011,321847,413,27924,5.9383,8.68,1388.87,95.1,99.899,Yes,OQ714312.1
23,Alouatta_guariba,NeotropicalPrimate,Group_II,NA,NA,NA,-23.4656,-46.6408,25/12/2017,intact_live_2d,Positive,17.07,NA,82781,532,798,4.9841,0.96,39.79,94.1,98.167,Yes,OQ714314.1
91,Hg_leucocelaenus,Mosquito,Group_I,3,24,Ground_level_Hand_net,-23.45584,-46.63605,26/12/2017,Not_applicable,Positive,22,99.3748,1164917,388,4784,4.6135,0.41,146.8,94.9,98.867,Yes,OQ714246.1
25,Alouatta_guariba,NeotropicalPrimate,Group_II,NA,NA,NA,-23.4623,-46.6358,26/12/2017,medium_or_advanced,Positive,18.79,NA,72960,326,2592,5.5506,3.55,126.34,93.8,99.899,Yes,OQ714315.1
24,Alouatta_guariba,NeotropicalPrimate,Group_II,NA,NA,NA,-23.4657,-46.6424,26/12/2017,medium_or_advanced,Positive,16.78,87.9823,106855,512,10762,6.0031,10.07,414.42,94.8,99.899,Yes,OQ714285.1
26,Alouatta_guariba,NeotropicalPrimate,Group_II,NA,NA,NA,-23.4586,-46.634,26/12/2017,intact_live_2d,Positive,18.26,NA,281965,536,29986,6.0267,10.63,1324.17,95.3,99.908,Yes,OQ714316.1
27,Alouatta_guariba,NeotropicalPrimate,Group_II,NA,NA,NA,-23.4656,-46.6393,27/12/2017,intact_live_2d,Positive,NA,NA,187064,402,394,4.3235,0.21,15.98,94.9,36.928,No,NA
77,Alouatta_guariba,NeotropicalPrimate,Group_III,NA,NA,NA,-23.4691167,-46.6188037,27/12/2017,NA,Positive,13.6,86.2602,107070,440,7361,5.8373,6.87,314.33,94.6,99.88,Yes,OQ714289.1
28,Alouatta_guariba,NeotropicalPrimate,Group_II,NA,NA,NA,-23.4654,-46.6404,27/12/2017,medium_or_advanced,Positive,NA,NA,203729,407,6566,5.5082,3.22,327.72,95,99.899,Yes,OQ714292.1
29,Alouatta_guariba,NeotropicalPrimate,Group_II,NA,NA,NA,-23.4655,-46.6405,27/12/2017,medium_or_advanced,Positive,NA,NA,774456,397,10175,5.1185,1.31,532.57,94.4,99.899,Yes,OQ714317.1
30,Alouatta_guariba,NeotropicalPrimate,Group_II,NA,NA,NA,-23.4652,-46.6391,28/12/2017,intact_live_2d,Positive,17.88,NA,213953,291,7039,5.5172,3.29,248.77,94,99.899,Yes,OQ714318.1
79,Alouatta_guariba,NeotropicalPrimate,Group_III,NA,NA,NA,-23.4723139,-46.6182287,29/12/2017,NA,Positive,15.37,86.4444,156755,469,2879,5.264,1.84,96.43,94.6,97.928,Yes,OQ714287.1
32,Alouatta_guariba,NeotropicalPrimate,Group_II,NA,NA,NA,-23.4619,-46.6373,29/12/2017,intact_live_2d,Positive,18.12,NA,340900,345,1474,4.6359,0.43,56.66,93.9,99.871,Yes,OQ714319.1
78,Alouatta_guariba,NeotropicalPrimate,Group_III,NA,NA,NA,-23.4587042,-46.6304206,29/12/2017,medium_or_advanced,Positive,10,86.3892,253456,520,92692,6.5631,36.57,3605.74,95.5,99.908,Yes,OQ714288.1
33,Alouatta_guariba,NeotropicalPrimate,Group_II,NA,NA,NA,-23.4659,-46.6419,31/12/2017,medium_or_advanced,Positive,NA,NA,36295,288,107,4.4695,0.29,2.47,94.6,0.958,No,NA
34,Alouatta_guariba,NeotropicalPrimate,Group_II,NA,NA,NA,-23.4659,-46.6419,31/12/2017,medium_or_advanced,Positive,NA,NA,447068,417,4574,5.0099,1.02,184.9,95.1,98.416,Yes,OQ714320.1
35,Alouatta_guariba,NeotropicalPrimate,Group_II,NA,NA,NA,-23.4659,-46.6419,31/12/2017,medium_or_advanced,Positive,NA,NA,247208,410,29285,6.0736,11.85,1175.89,95.2,99.899,Yes,OQ714321.1
80,Alouatta_guariba,NeotropicalPrimate,Group_III,NA,NA,NA,-23.4691167,-46.6188037,31/12/2017,intact_live_2d,Positive,13,86.1405,601563,458,89604,6.173,14.9,3491.34,95.4,99.908,Yes,OQ714286.1
81,Alouatta_guariba,NeotropicalPrimate,Group_III,NA,NA,NA,-23.4691167,-46.6188037,02/01/2018,NA,Positive,12.21,87.5495,113202,498,10084,5.9498,8.91,386.28,94.7,99.899,Yes,OQ714290.1
92,Hg_leucocelaenus,Mosquito,Group_I,5,66,Ground_level_Hand_net,-23.46351,-46.63303,03/01/2018,Not_applicable,Positive,21,96.2778,818114,331,3472,4.6278,0.42,64.12,94.4,76.204,Yes,OQ714247.1
36,Alouatta_guariba,NeotropicalPrimate,Group_II,NA,NA,NA,-23.460256,-46.647169,03/01/2018,intact_live_2d,Positive,18.64,NA,182932,418,2106,5.0612,1.15,111.21,93.9,99.88,Yes,OQ714326.1
82,Alouatta_guariba,NeotropicalPrimate,Group_III,NA,NA,NA,-23.4557207,-46.6197139,03/01/2018,NA,Positive,NA,NA,40114,253,3293,5.9143,8.21,203.46,93.6,99.899,Yes,OQ714322.1
83,Alouatta_guariba,NeotropicalPrimate,Group_III,NA,NA,NA,-23.4691167,-46.6188037,04/01/2018,medium_or_advanced,Positive,18.2,NA,54729,219,1342,5.3895,2.45,26.78,93.3,85.284,Yes,OQ714323.1
93,Hg_leucocelaenus,Mosquito,Group_I,1,81,Ground_level_Hand_net,-23.46469,-46.63525,04/01/2018,Not_applicable,Positive,24,96.2681,265510,945,5744,5.3351,2.16,396.88,94.1,96.132,Yes,OQ714248.1
94,Hg_leucocelaenus,Mosquito,Group_I,5,95,Ground_level_Hand_net,-23.46389,-46.63025,04/01/2018,Not_applicable,Positive,23,90.1036,422256,756,5705,5.1307,1.35,543.61,95.2,99.88,Yes,OQ714249.1
84,Alouatta_guariba,NeotropicalPrimate,Group_III,NA,NA,NA,-23.4691167,-46.6188037,04/01/2018,NA,Positive,20.8,NA,253266,201,10740,5.6274,4.24,330,93.9,99.899,Yes,OQ714324.1
85,Alouatta_guariba,NeotropicalPrimate,Group_III,NA,NA,NA,-23.4691167,-46.6188037,04/01/2018,NA,Positive,16.6,NA,165251,498,21016,6.1044,12.72,865.84,95.3,99.908,Yes,OQ714325.1
96,Hg_leucocelaenus,Mosquito,Group_I,5,120,Ground_level_Hand_net,-23.46634,-46.63147,05/01/2018,Not_applicable,Positive,24,90.4455,345856,538,1100,4.5025,0.32,77.94,95.1,94.364,Yes,OQ714242.1
95,Hg_leucocelaenus,Mosquito,Group_I,5,119,Ground_level_Hand_net,-23.46634,-46.63147,05/01/2018,Not_applicable,Positive,23,90.4357,451634,612,9862,5.3392,2.18,818.06,95.3,97.514,Yes,OQ714241.1
37,Alouatta_guariba,NeotropicalPrimate,Group_II,NA,NA,NA,-23.460883,-46.647048,05/01/2018,intact_live_2d,Positive,18.83,NA,182920,210,11361,5.7932,6.21,350.21,92.9,99.899,Yes,OQ714327.1
98,Hg_leucocelaenus,Mosquito,Group_I,4,182,Ground_level_Hand_net,-23.465369,-46.630977,11/01/2018,Not_applicable,Positive,19,96.1411,306772,866,2017,4.8179,0.66,122.97,95,96.316,Yes,OQ714244.1
97,Hg_leucocelaenus,Mosquito,Group_I,5,177,Ground_level_Hand_net,-23.465369,-46.630977,11/01/2018,Not_applicable,Positive,25,93.0832,250509,875,2776,5.0446,1.11,180.17,95.1,99.871,Yes,OQ714243.1
99,Hg_leucocelaenus,Mosquito,Group_I,5,192,Ground_level_Hand_net,-23.465369,-46.630977,11/01/2018,Not_applicable,Positive,23,99.3748,446908,732,12624,5.451,2.82,871.09,95.1,99.899,Yes,OQ714245.1
86,Alouatta_guariba,NeotropicalPrimate,Group_III,NA,NA,NA,-23.4454264,-46.5964362,15/01/2018,intact_live_2d,Positive,12.09,87.7245,170149,444,7447,5.6412,4.38,293.31,94.7,99.88,Yes,OQ714293.1
87,Alouatta_guariba,NeotropicalPrimate,Group_III,NA,NA,NA,-23.4454264,-46.5964362,19/01/2018,medium_or_advanced,Positive,20.63,37.4804,179425,474,268,4.1743,0.15,8.46,94.5,16.087,No,NA
88,Callithrix_spp,NeotropicalPrimate,Group_III,NA,NA,NA,-23.4401177,-46.7043919,27/01/2018,NA,Positive,31.68,NA,75726,448,15,3.2968,0.02,0.73,94.3,0,No,NA
90,Alouatta_guariba,NeotropicalPrimate,Group_III,NA,NA,NA,-23.329005,-46.5776382,30/01/2018,NA,Positive,29.34,NA,15237,385,20,4.1181,0.13,0.69,93.5,0,No,NA
89,Callithrix_spp,NeotropicalPrimate,Group_III,NA,NA,NA,-23.4214045,-46.6215058,30/01/2018,NA,Positive,14.99,NA,500519,253,30204,5.7806,6.03,1086,94.1,99.908,Yes,OQ714328.1
