tip,date,distance,residual,location
AB909123.1_human_PapuaNewGuinea_2011,2011.5,0.034567562,-0.003365732,Other
EF406357.1_human_China_1978,1978.5,0.026429562,3.91E-04,Other
LC049340.1_human_Mongolia_2010,2010.5,0.033488562,-0.004084279,Other
MW405350.1_human_SouthKorea_2014,2014.5,0.040112562,0.001097907,Other
AB839692.1_human_Indonesia_Bali_2003,2003.5,0.037294562,0.002244896,Other
AB839694.1_human_Indonesia_2007,2007.5,0.040581562,0.004090082,Other
AB839695.1_human_Indonesia_2007,2007.5,0.041451562,0.004960082,Other
AB839697.1_human_Indonesia_2007,2007.5,0.037491562,0.001000082,Other
LC049341.1_human_Mongolia_2012,2012.5,0.038777562,4.84E-04,Other
LC435031.1_human_Japan_2018,2018.5,0.040950562,4.94E-04,Other
LC416594.1_human_Japan_2018,2018.5,0.040797562,3.41E-04,Other
LC416593.1_human_Japan_2018,2018.5,0.040798562,3.42E-04,Other
LC416595.1_human_Japan_2018,2018.5,0.040798562,3.42E-04,Other
LC435032.1_human_Japan_2018,2018.5,0.041570562,0.001114093,Other
EF207320.1_human_Thailand_2001,2001.5,0.039839562,0.005510803,Other
AB793725.1_human_Philippines_2012,2012.5,0.044312562,0.006018814,Other
AB793726.1_human_Japan_2012,2012.5,0.044463562,0.006169814,Other
AB618529.1_human_Japan_2010,2010.5,0.041250562,0.003677721,Other
ON807335.1_human_France_2016,2016.5,0.037222562,-0.002513,Other
PP661697.1_Argentina_Cordoba_2018,2018.5,0.036467562,-0.003988907,Americas
PP661695.1_human_Argentina_2019,2019.5,0.033019562,-0.007797361,Americas
HM769724.1_human_Argentina_2006,2006.5,0.036273562,1.43E-04,Americas
MZ556999.1_Brazil_Belem_1983,1983.5,0.033440562,0.005599968,Brazil
MZ556984.1_Brazil_Belem_1982,1982.5,0.026626562,-8.54E-04,Brazil
EU526088.1_human_Uruguay_2005,2005.5,0.031816562,-0.003954011,Americas
EU526089.1_human_Uruguay_2005,2005.5,0.031063562,-0.004707011,Americas
MZ556996.1_Brazil_Marituba_1983,1983.5,0.028750562,9.10E-04,Other
